A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,class
1,189,204,1,0,1,7,98,1,1,4,1,0,0,95,0
1,136,99,1,0,1,3,108,1,1,3,0,0,0,99,0
1,142,43,1,0,4,3,19,1,1,1,0,0,62,3,0
1,235,94,1,0,4,7,128,1,1,18,1,0,153,0,0
1,317,136,2,2,1,7,81,1,1,16,0,0,0,54,0
1,310,186,1,0,1,3,76,1,1,3,1,0,0,121,0
0,244,110,2,2,2,3,3,1,1,13,1,0,128,31,0
1,167,158,1,0,6,3,114,1,1,14,0,0,84,125,0
1,248,46,1,0,10,0,90,0,0,0,0,0,50,0,0
1,84,21,1,0,1,7,4,0,0,0,0,0,1,0,0
0,103,16,1,0,1,3,23,1,0,0,1,0,135,0,0
1,106,32,1,0,2,7,42,1,0,0,1,0,75,0,0
1,216,110,1,0,4,7,1,1,0,0,1,0,112,189,0
1,197,120,1,0,4,7,0,1,0,0,1,0,60,80,0
1,190,137,1,0,6,3,120,1,0,0,1,0,0,0,0
1,79,74,2,2,4,7,22,1,0,0,1,0,23,125,0
1,77,0,1,0,6,7,2,1,0,0,0,0,0,0,0
1,266,16,1,0,10,3,102,1,0,0,1,0,87,0,0
1,199,159,1,0,5,3,112,0,0,0,1,2,154,0,0
1,262,137,1,0,2,3,113,1,1,3,0,0,160,0,0
1,320,80,1,0,13,7,30,1,1,15,1,0,41,0,0
1,164,102,1,0,7,7,82,1,1,22,0,0,63,212,0
0,80,26,2,2,2,7,36,1,1,11,1,0,160,153,0
0,46,28,1,0,2,7,38,1,1,1,0,0,0,0,0
1,113,156,1,0,6,7,96,1,1,1,1,0,8,0,0
1,189,46,1,0,6,7,37,1,1,1,1,0,142,173,0
0,204,32,1,0,1,7,62,1,1,3,0,0,0,163,0
1,100,12,1,0,13,7,6,1,1,14,0,0,68,57,0
1,36,183,1,0,4,3,35,1,1,20,0,0,160,123,0
1,199,133,1,0,5,3,39,1,1,1,1,0,139,171,0
1,172,191,1,0,8,0,38,1,0,0,1,2,117,0,1
1,196,151,1,0,7,0,50,1,0,0,1,0,36,0,1
0,224,166,1,0,6,7,53,1,0,0,1,0,169,0,1
1,265,16,1,0,13,7,47,1,0,0,0,2,112,0,1
1,267,187,2,2,1,7,39,0,0,0,0,0,23,78,1
1,48,171,1,0,2,7,9,1,1,1,0,0,23,0,1
1,188,183,1,0,0,7,3,1,0,0,1,0,124,0,1
0,34,19,2,2,0,7,15,1,0,0,1,0,23,0,1
1,59,37,2,2,12,7,73,1,1,1,0,0,34,79,1
1,57,212,1,0,1,7,6,1,0,0,0,0,15,0,1
1,293,107,1,0,9,2,0,1,1,1,0,0,167,0,1
0,123,45,1,0,13,7,62,1,0,0,0,2,98,0,1
1,236,16,1,0,13,7,6,1,0,0,0,2,76,0,1
0,162,146,1,0,7,7,82,1,0,0,1,0,81,0,1
1,119,20,1,0,0,7,11,1,0,0,1,0,41,0,1
1,214,151,1,0,1,0,102,1,0,0,1,2,75,0,1
1,162,12,1,0,7,7,23,1,0,0,1,2,165,0,1
1,102,114,2,2,0,7,93,1,0,0,0,0,38,0,1
1,187,159,1,0,0,7,25,1,0,0,1,0,62,0,1
0,290,45,1,0,11,4,0,1,0,0,1,0,1,115,1
1,335,86,2,2,1,3,102,1,0,0,0,0,5,0,1
1,161,100,1,0,1,7,13,1,0,0,0,0,8,0,1
1,162,166,2,2,0,7,127,1,0,0,0,0,0,0,1
1,304,42,2,2,1,3,131,1,0,0,1,0,41,3,1
1,135,45,2,2,1,7,36,1,0,0,1,0,0,96,1
0,133,147,1,0,10,0,13,1,0,0,1,0,30,0,1
1,75,20,2,2,0,7,3,1,0,0,0,0,34,1,1
1,162,16,1,0,1,0,22,1,0,0,1,2,87,0,1
0,69,67,2,2,2,7,82,1,0,0,1,0,70,0,1
0,132,32,1,0,2,7,25,1,1,11,1,0,26,171,1
1,217,51,2,2,1,0,6,1,0,0,1,0,25,153,1
1,200,103,2,2,1,7,93,1,0,0,0,0,160,0,1
1,29,166,1,0,2,7,9,1,1,11,0,0,0,147,1
1,94,78,1,0,12,7,67,1,1,11,1,0,8,169,1
1,125,151,2,2,10,3,112,1,1,11,1,0,157,0,1
1,313,100,1,0,8,8,0,1,1,12,0,0,20,37,1
1,135,37,1,0,12,7,13,1,0,0,0,2,75,0,1
0,94,67,2,2,0,7,98,1,0,0,0,0,8,0,1
1,243,115,2,2,5,3,46,1,0,0,1,0,32,0,1
0,40,25,1,0,1,7,21,1,1,17,1,0,15,169,1
1,137,146,1,0,4,7,90,1,1,14,1,0,88,0,1
0,89,33,2,2,9,2,13,1,1,14,0,0,34,53,1
1,90,83,1,0,4,7,23,1,0,0,1,0,68,0,1
0,185,25,1,0,12,0,25,1,1,14,1,0,49,0,1
1,48,39,2,2,1,3,33,1,1,14,1,0,15,88,1
0,99,36,1,0,2,7,31,1,1,11,0,0,41,0,1
1,219,187,1,0,2,3,49,1,1,20,1,0,81,169,1
1,306,183,1,0,12,7,115,1,1,7,0,0,0,20,0
1,325,188,1,0,13,7,55,1,1,18,1,0,97,40,0
0,49,61,1,0,6,3,8,1,1,1,1,0,160,170,0
1,237,182,1,0,2,7,1,1,1,1,0,0,41,125,0
1,102,83,1,0,6,7,29,1,1,19,1,0,15,112,0
0,91,83,1,0,0,7,36,1,1,4,1,0,8,186,0
0,264,185,1,0,2,7,119,1,1,14,1,0,0,0,0
0,81,203,1,0,2,7,127,1,1,17,1,0,8,0,0
1,197,166,1,0,5,3,121,1,1,18,1,0,0,4,0
1,280,120,1,0,13,0,73,1,1,4,1,0,114,111,0
1,72,67,1,0,2,7,73,1,1,20,1,0,1,223,0
1,191,156,1,0,10,0,88,1,1,11,0,0,72,198,0
0,131,146,1,0,4,7,22,1,0,0,0,2,75,0,0
1,341,173,1,0,8,8,52,1,1,1,1,0,0,0,0
1,46,53,1,0,1,7,67,1,1,1,0,0,1,55,0
0,279,196,1,0,8,0,116,1,1,18,0,0,103,175,0
1,207,166,1,0,1,0,73,1,1,18,0,0,0,145,0
1,174,173,1,0,2,3,110,1,1,4,1,0,113,4,0
1,288,183,1,0,2,3,113,1,0,0,1,0,94,0,0
1,237,17,2,2,0,7,13,1,1,14,0,0,41,4,0
1,183,124,1,0,13,7,95,1,1,18,0,0,44,0,0
0,31,208,1,0,4,7,39,1,1,18,1,0,111,197,0
0,116,90,1,0,2,3,102,1,1,11,0,0,0,172,0
0,159,149,1,0,6,3,16,1,1,22,1,0,35,0,0
0,318,101,1,0,11,2,0,1,1,7,0,0,0,107,0
1,259,10,2,2,6,3,42,1,1,21,0,0,1,146,0
1,67,67,1,0,4,7,62,1,1,1,0,0,160,117,0
1,119,49,1,0,6,3,104,1,1,22,0,0,110,225,0
1,176,120,1,0,6,3,78,1,1,18,0,0,23,85,0
1,78,45,1,0,2,7,70,1,1,14,1,0,0,190,0
0,240,192,2,2,2,3,125,1,1,6,0,0,0,101,0
0,152,183,1,0,1,0,93,1,1,20,1,0,0,127,0
0,307,99,1,0,1,7,110,1,1,6,0,0,0,93,0
0,274,15,1,0,6,3,10,1,1,3,1,0,123,195,0
0,326,54,1,0,2,7,93,1,1,6,0,0,0,63,0
1,215,183,1,0,13,3,95,1,1,4,1,0,166,0,0
1,76,120,1,0,1,7,27,1,1,3,1,0,148,90,0
1,175,45,1,0,6,3,110,1,1,14,1,0,0,0,0
0,59,72,2,2,11,4,0,1,1,3,1,0,0,0,0
0,132,138,2,2,5,3,74,1,1,1,0,0,153,0,0
0,342,99,1,0,8,8,0,1,1,6,0,0,0,137,0
1,126,109,1,0,12,3,94,1,1,11,1,0,35,0,0
1,188,2,2,2,13,0,1,1,1,1,1,0,75,81,0
1,123,109,1,0,5,3,25,1,1,15,0,0,15,215,0
1,263,109,1,0,13,7,42,1,1,11,1,0,0,54,0
1,95,50,1,0,5,7,40,1,1,1,1,0,108,79,0
1,168,51,2,2,8,3,1,1,0,0,1,0,107,0,0
0,333,103,1,0,2,7,48,1,0,0,1,0,46,9,0
0,242,54,1,0,2,3,42,1,0,0,0,0,77,226,0
1,35,208,1,0,2,7,25,1,0,0,1,0,148,153,0
0,172,17,1,0,6,7,1,1,0,0,0,0,123,18,0
1,212,142,1,0,2,3,130,1,0,0,1,0,2,199,0
1,217,36,2,2,7,7,36,0,0,0,1,0,120,0,0
0,95,121,2,2,0,7,6,1,0,0,1,0,100,0,0
1,246,0,1,0,1,0,57,1,0,0,0,0,0,0,0
1,316,83,1,0,12,3,125,1,0,0,1,0,61,83,0
0,294,91,1,0,12,3,127,1,0,0,1,0,0,0,0
1,71,63,1,0,2,3,32,1,0,0,0,0,1,0,0
1,117,45,2,2,4,7,9,1,0,0,1,0,68,12,0
1,94,83,1,0,0,7,82,1,0,0,1,2,40,0,0
0,107,202,1,0,0,7,34,1,0,0,0,0,23,55,0
0,26,205,1,0,2,7,29,1,1,15,0,0,148,181,0
1,43,198,1,0,0,7,45,1,1,6,0,0,148,59,0
1,280,10,1,0,1,0,57,1,1,12,0,0,0,56,0
0,54,117,1,0,10,0,13,1,1,15,0,2,160,0,0
0,48,137,1,0,2,7,4,1,1,14,0,0,1,195,0
0,322,108,1,0,1,7,110,1,1,20,0,0,0,126,0
0,68,175,1,0,2,7,75,1,1,20,0,0,11,133,0
1,289,200,1,0,1,3,50,1,1,22,0,0,35,65,0
1,238,183,1,0,0,0,90,1,1,1,0,0,0,171,0
1,241,166,1,0,1,7,102,1,1,20,0,0,0,127,0
0,134,33,1,0,1,7,73,1,1,17,1,0,81,49,0
0,179,161,1,0,2,3,39,1,1,11,0,0,0,0,0
1,55,63,1,0,1,7,82,1,0,0,1,0,0,0,0
1,252,7,1,0,10,3,105,1,0,0,0,0,112,0,0
1,250,31,1,0,5,7,73,1,0,0,0,0,138,197,0
1,71,47,2,2,4,7,84,1,1,18,0,0,160,0,0
1,192,152,2,2,10,0,127,1,1,20,1,0,39,0,0
1,129,167,2,2,1,0,36,1,1,21,1,0,17,207,0
1,180,141,2,2,5,7,86,1,1,14,1,0,104,0,0
1,284,194,1,0,4,3,58,1,1,4,0,0,0,218,0
1,122,110,2,2,0,7,62,1,1,14,1,0,100,185,0
1,70,55,1,0,5,7,1,1,1,22,0,0,148,150,0
0,85,16,1,0,2,3,30,1,1,1,0,0,0,203,0
0,246,32,1,0,10,0,67,1,0,0,1,0,0,125,0
1,92,124,1,0,1,7,67,1,1,18,0,0,36,197,0
0,49,59,1,0,2,7,18,1,1,11,1,0,134,0,0
1,208,112,2,2,4,7,2,1,1,1,0,0,136,23,0
0,201,78,1,0,2,3,55,1,1,21,0,0,0,200,0
0,345,0,1,0,1,7,0,0,0,0,0,1,36,0,0
1,134,206,1,0,2,3,111,1,1,18,0,0,105,66,0
1,199,120,1,0,12,7,98,1,1,20,0,0,19,35,0
1,234,156,1,0,1,0,116,1,1,8,0,0,7,28,0
1,232,178,1,0,6,3,46,1,1,6,1,0,110,0,0
1,87,184,2,2,7,7,110,1,0,0,1,2,1,0,0
1,332,96,1,0,9,2,61,1,1,7,1,0,0,4,0
1,76,72,1,0,10,7,90,1,1,22,0,0,145,213,0
1,113,123,2,2,6,7,107,1,1,1,0,0,48,0,0
1,284,146,1,0,0,7,90,1,0,0,0,2,57,0,0
1,245,152,1,0,6,3,118,1,1,21,0,0,87,0,0
1,315,72,1,0,9,2,102,1,1,17,0,0,0,229,0
1,309,211,1,0,8,7,129,1,1,17,0,0,0,0,0
0,32,205,2,2,1,7,25,1,1,15,1,0,160,171,0
0,295,84,1,0,0,7,68,1,1,14,1,0,22,0,0
1,340,67,1,0,8,8,80,1,1,20,1,0,51,0,0
0,17,203,1,0,0,7,33,1,0,0,1,0,0,0,0
0,31,209,1,0,0,7,2,1,0,0,0,0,1,0,0
0,219,173,1,0,2,7,3,1,0,0,1,0,56,0,0
1,78,151,1,0,1,0,6,1,0,0,1,0,23,0,0
1,22,173,1,0,12,7,13,1,0,0,0,0,160,0,0
0,69,199,2,2,5,7,72,0,0,0,0,0,25,0,0
1,39,12,1,0,2,7,62,1,1,11,1,0,160,0,0
1,64,67,1,0,6,7,17,1,0,0,0,0,1,0,0
1,96,146,1,0,6,7,16,1,1,20,0,0,0,209,0
0,279,137,1,0,5,7,54,1,1,11,1,0,140,68,0
1,182,51,1,0,5,3,98,1,1,15,1,0,65,227,0
1,123,93,1,0,4,7,112,1,0,0,1,0,133,171,0
0,327,128,1,0,10,0,46,1,1,5,0,0,0,202,0
0,48,53,1,0,2,7,64,1,1,17,0,0,52,109,0
1,108,9,1,0,10,0,0,1,0,0,1,0,0,0,0
1,55,191,1,0,0,7,34,1,1,1,0,0,160,237,0
1,258,161,1,0,2,7,99,1,0,0,0,2,0,0,0
1,220,57,1,0,5,7,73,1,1,18,0,0,142,77,0
1,47,54,2,2,1,7,73,1,0,0,0,2,111,0,0
1,285,132,1,0,4,7,42,1,1,14,0,0,8,45,0
1,130,166,1,0,4,7,48,1,0,0,1,0,153,0,0
0,30,191,1,0,2,7,77,1,1,17,0,0,36,113,0
1,27,109,1,0,10,7,36,1,1,11,0,0,8,125,0
1,180,138,2,2,1,3,63,1,1,1,1,0,34,72,0
1,268,200,1,0,6,3,55,1,1,1,1,0,163,81,0
0,39,8,1,0,2,3,7,1,1,3,0,0,160,238,0
1,89,86,1,0,1,0,101,1,1,11,0,0,156,161,0
1,61,67,1,0,5,7,7,1,1,18,0,0,9,0,0
1,239,129,1,0,8,8,80,1,1,3,0,0,0,26,0
1,247,166,1,0,2,3,102,1,1,18,1,0,131,0,0
0,19,67,1,0,5,3,25,1,1,3,0,0,0,126,0
1,77,69,1,0,5,3,12,1,1,1,0,0,1,0,0
1,162,20,1,0,12,7,6,0,0,0,0,0,104,82,1
1,23,59,1,0,1,3,27,0,0,0,0,0,87,36,1
1,41,68,1,0,1,7,62,0,0,0,1,0,14,0,1
1,41,0,1,0,7,7,13,0,0,0,0,0,17,0,1
0,49,209,1,0,10,7,1,0,0,0,0,0,41,4,1
0,89,51,2,2,1,7,4,0,0,0,0,0,13,0,1
1,175,117,1,0,7,3,112,0,0,0,1,0,79,0,1
0,303,0,2,2,9,2,0,0,0,0,0,0,0,0,1
0,284,41,1,0,10,6,8,0,0,0,0,0,0,25,1
0,46,63,2,2,5,3,0,0,0,0,1,0,21,131,1
1,297,19,1,0,9,2,0,0,0,0,0,0,18,0,1
1,12,3,2,2,1,7,1,0,0,0,0,0,15,211,1
1,25,38,2,2,8,1,0,0,0,0,0,0,1,0,1
0,168,179,1,0,7,7,30,0,0,0,0,0,71,0,1
1,331,46,1,0,2,7,3,1,0,0,1,0,68,0,0
1,21,5,1,0,2,5,5,0,0,0,0,0,41,152,0
1,218,0,1,0,1,7,0,0,0,0,0,1,36,0,0
1,172,120,1,0,1,7,30,0,0,0,1,0,75,0,1
1,22,186,2,2,13,7,1,0,0,0,0,0,15,0,1
1,221,57,2,2,12,7,3,0,0,0,0,0,23,0,1
1,154,120,1,0,6,3,67,0,0,0,1,2,91,0,1
1,28,176,1,0,7,7,14,0,0,0,0,0,8,0,1
0,34,172,1,0,10,3,7,0,0,0,0,0,160,168,1
0,23,54,2,2,2,3,4,0,0,0,0,0,91,0,1
1,90,90,2,2,9,2,0,0,0,0,0,0,36,0,1
1,8,28,1,0,13,7,2,1,0,0,0,2,41,0,1
1,53,29,2,2,1,3,6,0,0,0,0,0,75,84,1
1,84,19,2,2,6,3,3,0,0,0,0,0,62,1,1
1,18,158,1,0,1,7,6,0,0,0,0,2,160,0,1
0,10,39,1,0,2,7,6,0,1,1,0,0,3,236,1
1,78,85,1,0,1,7,3,0,1,11,0,0,0,184,1
1,17,54,1,0,4,3,4,0,1,1,0,0,8,1,1
0,162,45,1,0,9,2,0,0,1,11,1,0,41,8,1
1,140,18,1,0,4,7,7,0,1,1,0,0,91,119,1
1,31,13,2,2,1,7,4,0,1,1,0,0,41,1,1
0,60,51,2,2,11,4,0,0,0,0,0,0,23,0,1
1,75,25,1,0,13,7,13,0,0,0,1,2,87,0,1
0,24,54,1,0,4,7,25,0,1,1,0,0,8,1,1
1,99,17,1,0,4,7,4,0,1,1,0,0,71,161,1
1,203,118,1,0,4,7,3,0,1,11,0,0,52,1,1
0,6,11,1,0,9,2,0,0,1,1,0,0,23,33,1
0,167,140,1,0,9,2,83,0,1,11,1,0,41,151,1
1,343,203,1,0,9,2,93,0,1,1,0,0,153,195,1
1,177,120,1,0,0,7,42,0,1,11,1,0,155,0,1
1,9,124,1,0,0,7,17,0,1,1,0,0,160,87,1
1,65,79,1,0,1,7,89,0,1,11,1,0,34,69,1
0,324,109,1,0,9,2,116,0,1,1,0,0,0,2,1
1,24,5,1,0,7,7,6,0,0,0,1,2,75,0,1
1,80,32,1,0,1,7,13,0,0,0,1,2,75,0,1
0,4,126,1,0,2,7,2,0,0,0,0,0,8,0,1
0,91,92,1,0,2,3,36,0,0,0,0,0,75,1,1
1,289,135,2,2,9,2,0,1,0,0,1,0,0,0,1
1,81,124,1,0,9,2,98,0,0,0,0,0,23,108,1
1,28,60,1,0,9,2,10,0,0,0,0,0,160,0,1
1,124,40,1,0,12,3,6,0,0,0,1,2,15,0,1
0,165,137,2,2,11,4,0,0,0,0,0,0,23,79,1
0,92,159,1,0,4,7,25,0,0,0,1,0,97,195,1
1,33,51,2,2,1,7,69,0,0,0,1,0,5,195,1
0,9,8,1,0,0,7,3,0,0,0,0,0,41,1,1
0,28,54,1,0,7,7,10,0,0,0,0,0,160,158,1
1,8,0,2,2,0,7,6,0,0,0,0,0,148,0,1
1,75,25,1,0,13,7,13,1,0,0,1,2,87,0,1
1,53,9,2,2,1,3,6,0,0,0,0,0,75,84,1
1,16,130,0,1,9,6,0,0,0,0,1,1,126,6,0
1,34,0,2,2,13,0,0,0,0,0,1,2,137,1,0
1,213,4,2,2,1,7,36,0,0,0,1,0,59,21,0
1,54,45,1,0,4,7,36,0,0,0,0,0,19,219,0
0,22,12,0,1,6,2,46,0,0,0,1,2,81,0,0
0,184,12,1,0,6,7,9,0,0,0,0,0,81,160,0
1,288,7,2,2,12,7,6,1,1,3,0,0,104,116,0
1,184,39,1,0,4,7,28,0,0,0,0,0,8,0,1
0,140,35,2,2,5,7,25,0,0,0,0,0,75,36,1
1,148,35,2,2,1,7,1,0,0,0,0,0,29,70,1
1,242,146,1,0,10,0,13,0,0,0,0,2,6,0,1
1,196,120,2,2,4,7,82,0,0,0,0,2,41,0,1
1,162,151,2,2,10,7,2,0,0,0,1,0,115,0,1
1,46,0,1,0,1,7,0,0,0,0,0,1,36,0,1
0,181,120,2,2,1,7,73,0,0,0,1,0,0,78,1
1,188,120,1,0,1,7,25,0,0,0,0,0,129,61,1
0,97,83,1,0,7,7,25,0,0,0,1,0,34,11,1
1,195,120,1,0,6,0,13,0,0,0,0,0,92,0,1
1,123,25,1,0,2,3,4,0,0,0,1,0,52,110,1
1,278,183,1,0,1,7,25,0,0,0,1,0,0,98,1
0,196,39,2,2,10,3,13,0,0,0,1,0,23,0,1
0,181,137,2,2,0,7,62,0,0,0,0,0,34,0,1
1,126,137,1,0,4,7,19,0,0,0,1,0,81,201,1
0,229,151,1,0,1,7,82,0,0,0,0,0,132,0,1
1,257,153,1,0,0,7,1,0,0,0,0,0,3,3,1
1,116,115,1,0,10,0,13,0,0,0,1,0,151,154,1
1,185,124,1,0,10,0,0,0,0,0,0,0,34,0,1
1,227,51,1,0,12,7,13,0,0,0,1,0,81,78,1
1,336,187,1,0,8,8,0,0,0,0,0,0,0,24,1
1,171,45,1,0,1,7,6,0,0,0,1,0,102,30,1
1,114,159,2,2,1,0,73,0,0,0,0,0,41,28,1
1,337,17,1,0,1,7,15,1,1,14,1,0,34,0,1
1,125,45,1,0,4,7,67,0,1,1,1,0,1,124,1
0,108,109,1,0,11,4,0,0,0,0,1,0,73,1,1
1,65,19,2,2,9,2,0,0,0,0,0,0,1,0,1
1,69,72,2,2,13,7,36,0,0,0,1,0,0,154,1
1,155,47,1,0,7,7,15,0,0,0,1,2,0,0,1
1,212,109,1,0,10,7,6,0,0,0,1,0,53,0,1
0,5,5,1,0,0,7,25,0,1,11,1,0,87,1,1
1,245,41,1,0,7,7,4,0,0,0,0,0,27,0,1
0,37,5,1,0,2,7,1,0,0,0,1,0,104,0,1
1,173,137,1,0,7,7,4,0,0,0,1,0,8,0,1
0,213,162,1,0,9,2,0,0,0,0,0,0,23,0,1
0,149,173,1,0,12,7,110,0,0,0,1,2,1,0,1
1,76,120,1,0,9,2,2,0,0,0,1,0,1,159,1
1,115,17,1,0,12,2,0,0,0,0,0,0,1,0,1
1,11,11,2,2,12,7,7,0,0,0,0,2,41,0,1
1,88,109,1,0,8,1,4,0,1,11,0,0,87,38,1
1,258,39,1,0,13,7,54,0,1,1,1,0,95,19,1
0,72,181,1,0,0,7,4,0,0,0,0,0,52,4,1
1,233,50,2,2,13,7,4,0,0,0,0,2,112,0,1
0,82,72,2,2,12,3,82,0,0,0,1,0,40,61,1
1,56,25,2,2,3,5,19,0,0,0,1,0,13,78,1
1,178,120,2,2,4,7,118,0,0,0,1,0,75,0,1
1,110,88,1,0,8,1,0,0,0,0,1,0,15,17,1
0,268,160,1,0,12,3,25,0,0,0,1,2,62,0,1
1,109,46,1,0,4,7,3,0,0,0,0,0,1,0,1
1,128,19,1,0,0,7,1,0,0,0,0,0,68,7,1
0,50,16,2,2,8,1,25,0,0,0,0,0,68,0,1
1,134,96,1,0,7,7,3,0,0,0,0,0,0,122,1
1,48,28,2,2,1,7,62,0,0,0,1,2,62,0,1
1,191,41,1,0,10,0,3,0,0,0,1,0,123,162,1
1,183,9,1,0,10,0,93,0,0,0,1,2,117,0,1
1,261,166,1,0,10,0,67,0,0,0,1,0,16,0,1
0,71,187,1,0,1,7,4,0,0,0,0,0,23,0,1
0,87,120,2,2,10,0,98,0,0,0,0,0,41,163,1
0,321,156,2,2,9,2,102,0,0,0,1,0,0,151,1
1,64,71,1,0,12,7,38,0,0,0,1,0,1,29,1
1,187,173,2,2,1,7,36,0,0,0,1,0,148,0,1
1,70,45,2,2,0,7,14,0,0,0,1,0,8,201,1
1,53,0,1,0,1,7,13,0,0,0,1,2,0,0,1
1,113,97,1,0,10,0,0,0,0,0,1,0,33,0,1
1,74,6,1,0,13,7,2,0,0,0,0,2,0,0,1
1,1,187,1,0,8,7,25,0,0,0,0,0,149,0,1
1,237,166,1,0,10,0,5,0,0,0,0,0,144,0,1
1,121,83,1,0,0,0,6,0,0,0,1,0,155,0,1
1,91,17,1,0,13,7,25,0,0,0,1,0,8,1,1
1,245,39,2,2,4,7,6,0,0,0,0,0,0,75,1
0,179,48,1,0,7,7,14,0,0,0,1,0,0,0,1
1,144,110,2,2,5,3,1,0,0,0,0,0,10,1,1
0,82,19,2,2,9,2,3,0,0,0,0,0,8,228,1
1,108,83,2,2,12,3,30,0,0,0,1,0,0,67,1
1,157,111,1,0,1,7,2,0,0,0,0,0,81,0,1
1,49,168,2,2,11,7,7,0,0,0,0,0,15,73,1
1,136,12,1,0,1,7,7,0,0,0,0,0,52,46,1
0,302,183,1,0,10,0,84,0,0,0,1,0,156,0,1
0,71,11,1,0,2,7,19,0,0,0,0,2,23,0,1
1,187,168,2,2,10,0,27,0,0,0,1,0,132,0,1
0,344,179,1,0,9,2,0,0,0,0,0,2,0,0,1
0,240,197,2,2,12,7,4,0,1,11,0,0,36,71,1
0,38,21,2,2,1,7,25,0,1,1,0,0,42,78,1
1,5,140,1,0,4,7,2,0,1,1,0,0,0,195,1
1,12,9,1,0,2,7,8,0,1,15,0,0,23,219,1
1,159,125,1,0,9,2,0,0,1,17,0,0,32,51,1
1,96,137,1,0,1,7,30,0,1,1,0,0,0,92,1
0,71,26,1,0,10,7,2,0,0,0,0,0,17,0,1
1,241,45,1,0,10,0,0,0,0,0,0,2,81,0,1
1,66,15,1,0,12,7,3,0,0,0,1,0,75,182,1
0,66,39,2,2,9,2,88,0,0,0,0,0,75,0,1
1,69,4,2,2,12,7,3,0,0,0,0,0,41,208,1
1,82,52,1,0,1,7,14,0,0,0,1,0,14,1,1
1,223,23,1,0,1,7,9,0,1,11,0,0,55,171,1
0,112,121,2,2,9,2,0,0,0,0,1,0,34,196,1
1,198,120,1,0,10,7,25,0,0,0,1,0,47,0,1
1,46,35,1,0,2,7,36,0,0,0,0,0,3,207,1
1,139,39,1,0,4,7,42,0,0,0,0,0,41,0,1
1,108,28,1,0,6,7,28,0,0,0,0,0,1,0,1
1,184,113,1,0,1,7,36,0,0,0,0,1,8,0,1
1,90,39,1,0,1,7,6,0,0,0,0,0,4,0,1
0,123,110,1,0,4,7,6,0,0,0,1,0,34,170,1
1,217,28,1,0,8,7,1,0,0,0,0,0,8,169,1
1,291,116,1,0,9,2,7,0,0,0,0,0,41,124,1
1,183,11,2,2,6,7,2,0,0,0,0,0,34,0,1
1,301,137,2,2,9,2,36,0,0,0,0,0,34,151,1
1,74,141,2,2,1,7,4,0,0,0,0,0,23,10,1
1,61,46,1,0,12,7,2,0,0,0,1,0,96,0,1
